CVE-2010-3375,9.8
CVE-2010-3416,9.8
CVE-2010-3438,9.8
CVE-2010-3439,6.5
CVE-2010-3440,5.5
CVE-2010-3659,5.4
CVE-2010-3660,5.4
CVE-2010-3661,6.1
CVE-2010-3662,8.8
CVE-2010-3663,8.8
CVE-2010-3664,6.5
CVE-2010-3665,5.4
CVE-2010-3666,5.3
CVE-2010-3667,5.3
CVE-2010-3668,7.5
CVE-2010-3669,5.4
CVE-2010-3670,4.8
CVE-2010-3671,6.5
CVE-2010-3672,6.1
CVE-2010-3673,5.3
CVE-2010-3674,6.1
CVE-2010-3729,9.8
CVE-2010-3730,8.8
CVE-2010-3782,8.8
CVE-2010-3843,7.8
CVE-2010-3844,8.8
CVE-2010-3845,9.8
CVE-2010-3857,6.1
CVE-2010-3917,6.5
CVE-2010-4020,6.3
CVE-2010-4038,7.5
CVE-2010-4039,9.8
CVE-2010-4040,7.8
CVE-2010-4041,9.8
CVE-2010-4042,9.8
CVE-2010-4177,5.5
CVE-2010-4178,5.5
CVE-2010-4197,9.8
CVE-2010-4198,8.8
CVE-2010-4199,8.8
CVE-2010-4201,9.8
CVE-2010-4202,9.8
CVE-2010-4203,9.8
CVE-2010-4204,9.8
CVE-2010-4205,9.8
CVE-2010-4206,8.8
CVE-2010-4237,5.9
CVE-2010-4239,9.8
CVE-2010-4240,6.1
CVE-2010-4241,8.8
CVE-2010-4245,6.1
CVE-2010-4251,7.5
CVE-2010-4264,6.1
CVE-2010-4266,6.1
CVE-2010-4314,8.8
CVE-2010-4343,5.5
CVE-2010-4532,5.9
CVE-2010-4533,9.8
CVE-2010-4653,6.5
CVE-2010-4654,7.8
CVE-2010-4655,5.5
CVE-2010-4656,7.8
CVE-2010-4657,7.5
CVE-2010-4658,5.3
CVE-2010-4659,6.1
CVE-2010-4660,9.8
CVE-2010-4661,7.8
CVE-2010-4662,6.1
CVE-2010-4664,8.8
CVE-2010-4805,7.5
CVE-2010-4815,9.8
CVE-2010-4816,7.5
CVE-2010-4817,5.5
CVE-2010-5108,7.5
CVE-2010-5304,7.5
CVE-2010-5305,9.8
CVE-2010-5321,4.3
CVE-2010-5325,9.8
CVE-2010-5326,10.0
CVE-2010-5327,8.8
CVE-2010-5328,5.5
CVE-2010-5329,5.5
CVE-2010-5330,9.8
CVE-2010-5331,7.8
CVE-2010-5332,5.6
CVE-2010-5333,9.8
CVE-2010-5334,7.5
CVE-2010-5335,7.5
CVE-2010-5336,6.1
CVE-2010-5337,6.1
CVE-2010-5338,6.1
CVE-2010-5339,6.1
CVE-2010-5340,6.1
CVE-2011-0220,5.5
CVE-2011-0428,6.1
CVE-2011-0467,8.8
CVE-2011-0469,9.8
CVE-2011-0525,8.8
CVE-2011-0529,7.5
CVE-2011-0544,6.1
CVE-2011-0699,7.0
CVE-2011-0703,9.8
CVE-2011-0704,5.9
CVE-2011-0709,7.5
CVE-2011-1009,6.1
CVE-2011-1028,9.8
CVE-2011-1069,6.1
CVE-2011-1070,7.8
CVE-2011-1075,3.7
CVE-2011-1084,6.1
CVE-2011-1085,8.8
CVE-2011-1086,6.1
CVE-2011-1133,6.1
CVE-2011-1134,9.8
CVE-2011-1135,6.1
CVE-2011-1136,4.7
CVE-2011-1145,7.8
CVE-2011-1150,6.1
CVE-2011-1151,9.1
CVE-2011-1180,9.8
CVE-2011-1265,8.8
CVE-2011-1298,7.5
CVE-2011-1408,8.2
CVE-2011-1459,6.5
CVE-2011-1460,9.8
CVE-2011-1474,5.5
CVE-2011-1488,5.5
CVE-2011-1489,5.5
CVE-2011-1490,5.5
CVE-2011-1497,6.1
CVE-2011-1517,9.8
CVE-2011-1573,5.9
CVE-2011-1588,7.8
CVE-2011-1597,8.8
CVE-2011-1640,7.5
CVE-2011-1770,7.5
CVE-2011-1771,7.8
CVE-2011-1776,6.1
CVE-2011-1802,6.5
CVE-2011-1803,6.5
CVE-2011-1805,8.8
CVE-2011-1830,8.8
CVE-2011-1930,9.8
CVE-2011-1933,9.8
CVE-2011-1934,4.3
CVE-2011-1935,9.8
CVE-2011-1939,9.8
CVE-2011-2054,7.5
CVE-2011-2057,7.5
